README			About Perl
perlmroapi.pod		Perl method resolution plugin interface 
perlnewmod.pod		preparing a new module for distribution 
perlnumber.pod		semantics of numbers and numeric operations in Perl 
perlobj.pod		Perl object reference 
perlootut.pod		Object-Oriented Programming in Perl Tutorial 
perlop.pod		Perl operators and precedence 
perlopentut.pod		simple recipes for opening files and pipes in Perl 
perlpacktut.pod		tutorial on C<pack> and C<unpack> 
perlperf.pod		Perl Performance and Optimization Techniques 
perlpod.pod		the Plain Old Documentation format 
perlpodspec.pod		Plain Old Documentation: format specification and notes
perlpodstyle.pod	Perl POD style guide 
perlpolicy.pod		Various and sundry policies and commitments related to the Perl core
perlport.pod		Writing portable Perl 
perlpragma.pod		how to write a user pragma 
perlre.pod		Perl regular expressions 
perlreapi.pod		Perl regular expression plugin interface 
perlrebackslash.pod	Perl Regular Expression Backslash Sequences and Escapes
perlrecharclass.pod	Perl Regular Expression Character Classes 
perlref.pod		Perl references and nested data structures 
perlreftut.pod		Mark's very short tutorial about references 
perlreguts.pod		Description of the Perl regular expression engine. 
perlrepository.pod	Links to current information on the Perl source repository
perlrequick.pod		Perl regular expressions quick start 
perlreref.pod		Perl Regular Expressions Reference 
perlretut.pod		Perl regular expressions tutorial 
perlrun.pod		how to execute the Perl interpreter 
perlsec.pod		Perl security 
perlsource.pod		A guide to the Perl source tree 
perlstyle.pod		Perl style guide 
perlsub.pod		Perl subroutines 
perlsyn.pod		Perl syntax 
perlthrtut.pod		Tutorial on threads in Perl 
perltie.pod		how to hide an object class in a simple variable 
perltodo.pod		Link to the Perl to-do list 
perltooc.pod		Links to information on object-oriented programming in Perl
perltoot.pod		Links to information on object-oriented programming in Perl
perltrap.pod		Perl traps for the unwary 
perlunicode.pod		Unicode support in Perl 
perlunicook.pod		cookbookish examples of handling Unicode in Perl 
perlunifaq.pod		Perl Unicode FAQ 
perluniintro.pod	Perl Unicode introduction 
perluniprops.pod	Index of Unicode Version 7.0.0 character properties in Perl
perlunitut.pod		Perl Unicode Tutorial 
perlutil.pod		utilities packaged with the Perl distribution 
perlvar.pod		Perl predefined variables 
perlvms.pod		VMS-specific documentation for Perl 
perlxs.pod		XS language reference manual 
perlxstut.pod		Tutorial for writing XSUBs 
perlxstypemap.pod	Perl XS C/Perl type mapping 
