30/07/14 17:06
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	#Files	
Total:            	   101618	 1009341	                  5174448	                         6048719	   173	
Pendientes:       	    61925	  720023	                  3695340	                         4317528	   134	
Únicos:           	    80238	  926826	                  4738644	                         5547531	   173	
Pendientes únicos:	    56183	  675129	                  3461544	                         4046797	   133	


Estadísticas por archivo individual:

Nombre de archivo  	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
perlthrtut.pod     	            681	                 563	             590	                        549	             7409	               7139	           7267	                      7095	                             37530	                               35979	                           36688	                                      35746	                                    43804	                                      42108	                                  42898	                                             41846	
perltie.pod        	            763	                 589	             538	                        528	             5904	               5585	           5284	                      5264	                             29844	                               28234	                           26748	                                      26657	                                    34768	                                      32899	                                  31178	                                             31073	
perltodo.pod       	              6	                   4	               4	                          4	               63	                 59	             59	                        59	                               318	                                 291	                             291	                                        291	                                      366	                                        337	                                    337	                                               337	
perltooc.pod       	              7	                   2	               2	                          2	               42	                 21	             21	                        21	                               249	                                 131	                             131	                                        131	                                      281	                                        150	                                    150	                                               150	
perltoot.pod       	              7	                   2	               2	                          2	               42	                 21	             21	                        21	                               249	                                 131	                             131	                                        131	                                      281	                                        150	                                    150	                                               150	
perltrap.pod       	            243	                 146	             157	                        143	             1728	               1615	           1607	                      1585	                              8592	                                7955	                            7955	                                       7825	                                    10026	                                       9310	                                   9288	                                              9153	
perlunicode.pod    	            995	                 825	             829	                        804	            12738	              12403	          12445	                     12301	                             65518	                               63915	                           63926	                                      63311	                                    76546	                                      74654	                                  74758	                                             73977	
perlunifaq.pod     	            161	                   4	             156	                          4	             2341	                117	           2329	                       117	                             11402	                                 545	                           11347	                                        545	                                    13341	                                        642	                                  13279	                                               642	
perluniintro.pod   	            468	                 399	             408	                        392	             5884	               5679	           5780	                      5660	                             30375	                               29286	                           29771	                                      29151	                                    35058	                                      33826	                                  34386	                                             33681	
perluniprops.pod   	           4247	                4213	            3763	                       3762	            25354	              25300	          24189	                     24189	                            167979	                              167728	                          160092	                                     160084	                                   193752	                                     193470	                                 185416	                                            185407	
perlunitut.pod     	            123	                   1	             111	                          1	             1326	                 36	           1303	                        36	                              6579	                                 187	                            6430	                                        187	                                     7668	                                        219	                                   7508	                                               219	
perlutil.pod       	            135	                   6	             111	                          6	             1550	                143	           1517	                       143	                              7905	                                 786	                            7737	                                        786	                                     9056	                                        858	                                   8871	                                               858	
perlvar.pod        	           1167	                   0	            1006	                          0	            12116	                  0	          11537	                         0	                             61498	                                   0	                           58495	                                          0	                                    71266	                                          0	                                  67831	                                                 0	
perlvms.pod        	            506	                 454	             460	                        452	             8868	               8783	           8799	                      8776	                             43801	                               43359	                           43450	                                      43331	                                    51260	                                      50770	                                  50869	                                             50737	
perlxs.pod         	           1277	                1017	             893	                        869	            11276	              10882	          10655	                     10605	                             58496	                               55992	                           54439	                                      54158	                                    67714	                                      65029	                                  63360	                                             63031	
perlxstut.pod      	            840	                 656	             662	                        611	             8248	               7950	           7984	                      7836	                             40790	                               39131	                           39347	                                      38501	                                    47853	                                      45918	                                  46169	                                             45195	
perlxstypemap.pod  	            367	                 280	             307	                        250	             4068	               3920	           3854	                      3738	                             19420	                               18474	                           18433	                                      17672	                                    22786	                                      21743	                                  21634	                                             20793	
README             	             56	                   0	              45	                          0	              924	                  0	            800	                         0	                              4727	                                   0	                            4013	                                          0	                                     5525	                                          0	                                   4705	                                                 0	
README.aix         	            289	                   5	             250	                          5	             3189	                 73	           3048	                        73	                             15609	                                 322	                           14834	                                        322	                                    18830	                                        384	                                  17948	                                               384	
README.amiga       	            144	                  99	             117	                         99	             1114	                944	           1071	                       944	                              5668	                                4815	                            5445	                                       4815	                                     6550	                                       5567	                                   6306	                                              5567	
README.android     	            104	                  93	              94	                         93	             1227	               1182	           1201	                      1182	                              6443	                                6216	                            6303	                                       6216	                                     7485	                                       7225	                                   7328	                                              7225	
README.bs2000      	            121	                 104	             101	                         95	             1285	               1209	           1214	                      1160	                              6619	                                6128	                            6201	                                       5849	                                     7598	                                       7056	                                   7140	                                              6750	
README.ce          	            247	                 215	             193	                        191	             2156	               2087	           2008	                      1988	                             12418	                               12104	                           11432	                                      11340	                                    13998	                                      13647	                                  12934	                                             12826	
README.cygwin      	            486	                 454	             446	                        439	             4032	               3929	           3854	                      3798	                             22101	                               21579	                           21230	                                      20918	                                    25546	                                      24953	                                  24451	                                             24093	
README.dos         	            165	                 128	             124	                        123	             1681	               1594	           1576	                      1574	                              8594	                                8164	                            8079	                                       8071	                                     9935	                                       9449	                                   9352	                                              9343	
README.freebsd     	             18	                   0	              13	                          0	              261	                  0	            223	                         0	                              1354	                                   0	                            1164	                                          0	                                     1559	                                          0	                                   1339	                                                 0	
README.haiku       	             35	                   3	              23	                          3	              239	                 32	            193	                        32	                              1270	                                 165	                            1046	                                        165	                                     1433	                                        185	                                   1173	                                               185	
README.hpux        	            400	                 389	             381	                        381	             4661	               4583	           4569	                      4569	                             23603	                               23237	                           22915	                                      22915	                                    28208	                                      27778	                                  27414	                                             27414	
README.hurd        	             29	                   0	              23	                          0	              318	                  0	            280	                         0	                              1629	                                   0	                            1370	                                          0	                                     1928	                                          0	                                   1638	                                                 0	
README.irix        	             76	                   0	              67	                          0	              690	                  0	            640	                         0	                              3535	                                   0	                            3272	                                          0	                                     4164	                                          0	                                   3861	                                                 0	
README.linux       	             20	                   0	              14	                          0	              236	                  0	            187	                         0	                              1252	                                   0	                             997	                                          0	                                     1445	                                          0	                                   1152	                                                 0	
README.macos       	             14	                   0	               8	                          0	              174	                  0	            134	                         0	                               834	                                   0	                             634	                                          0	                                      977	                                          0	                                    745	                                                 0	
README.macosx      	            126	                 116	             114	                        113	             1928	               1880	           1868	                      1865	                             10000	                                9759	                            9698	                                       9679	                                    11546	                                      11269	                                  11207	                                             11186	
README.micro       	             21	                   0	              21	                          0	              286	                  0	            286	                         0	                              1561	                                   0	                            1561	                                          0	                                     1812	                                          0	                                   1812	                                                 0	
README.netware     	            121	                  84	              82	                         81	             1037	                956	            930	                       928	                              5374	                                4967	                            4796	                                       4785	                                     6187	                                       5728	                                   5552	                                              5540	
README.openbsd     	             15	                   0	               8	                          0	              189	                  0	            136	                         0	                              1017	                                   0	                             728	                                          0	                                     1174	                                          0	                                    845	                                                 0	
README.os2         	           1434	                1261	            1211	                       1209	            15344	              15055	          14783	                     14780	                             77163	                               75762	                           74262	                                      74253	                                    89144	                                      87582	                                  85886	                                             85876	
README.os390       	            231	                 183	             173	                        170	             2604	               2465	           2350	                      2325	                             12765	                               11931	                           11433	                                      11295	                                    14885	                                      13968	                                  13371	                                             13216	
README.os400       	             58	                   0	              51	                          0	              796	                  0	            756	                         0	                              3854	                                   0	                            3661	                                          0	                                     4504	                                          0	                                   4280	                                                 0	
README.plan9       	             81	                  71	              69	                         69	              802	                759	            754	                       754	                              4278	                                4075	                            4050	                                       4050	                                     4946	                                       4711	                                   4683	                                              4683	
README.qnx         	            106	                  96	              95	                         95	             1062	               1016	           1008	                      1008	                              5565	                                5348	                            5306	                                       5306	                                     6429	                                       6178	                                   6130	                                              6130	
README.riscos      	             32	                   0	              17	                          0	              252	                  0	            195	                         0	                              1260	                                   0	                             999	                                          0	                                     1458	                                          0	                                   1158	                                                 0	
README.solaris     	            402	                 376	             373	                        373	             4751	               4695	           4679	                      4679	                             23875	                               23559	                           23483	                                      23483	                                    28490	                                      28120	                                  28009	                                             28009	
README.symbian     	            263	                 244	             239	                        239	             2491	               2432	           2407	                      2407	                             12552	                               12246	                           12079	                                      12079	                                    14700	                                      14350	                                  14163	                                             14163	
README.synology    	            138	                 107	             107	                        107	             1108	               1035	           1035	                      1035	                              5888	                                5528	                            5528	                                       5528	                                     6757	                                       6345	                                   6345	                                              6345	
README.tru64       	             79	                  72	              69	                         69	             1269	               1226	           1216	                      1216	                              6478	                                6260	                            6183	                                       6183	                                     7538	                                       7287	                                   7203	                                              7203	
README.vms         	            323	                 262	             300	                        260	             3928	               3747	           3890	                      3741	                             19755	                               18632	                           19532	                                      18577	                                    23053	                                      21788	                                  22815	                                             21733	
README.vos         	             54	                  20	              42	                         20	              603	                342	            553	                       342	                              3228	                                1840	                            3005	                                       1840	                                     3720	                                       2137	                                   3462	                                              2137	
README.win32       	            451	                 406	             388	                        387	             5998	               5895	           5670	                      5666	                             30858	                               30357	                           29167	                                      29141	                                    35675	                                      35109	                                  33744	                                             33714	
